Country,Year,Emissions (CH4)_Agrifood Systems Waste Disposal,Emissions (CO2)_Agrifood Systems Waste Disposal,Emissions (N2O)_Agrifood Systems Waste Disposal,Emissions (CH4)_Burning - Crop residues,Emissions (N2O)_Burning - Crop residues,Emissions (N2O)_Crop Residues,Emissions (CO2)_Drained organic soils (CO2),Emissions (N2O)_Drained organic soils (N2O),Emissions (CH4)_Energy,Emissions (CO2)_Energy,Emissions (N2O)_Energy,Emissions (CH4)_Enteric Fermentation,Emissions (CH4)_Fires in humid tropical forests,Emissions (N2O)_Fires in humid tropical forests,Emissions (CH4)_Fires in organic soils,Emissions (CO2)_Fires in organic soils,Emissions (CH4)_Food Household Consumption,Emissions (CO2)_Food Household Consumption,Emissions (N2O)_Food Household Consumption,Emissions (CH4)_Food Packaging,Emissions (CO2)_Food Packaging,Emissions (N2O)_Food Packaging,Emissions (CH4)_Food Processing,Emissions (CO2)_Food Processing,Emissions (N2O)_Food Processing,Emissions (CH4)_Food Retail,Emissions (CO2)_Food Retail,Emissions (N2O)_Food Retail,Emissions (CH4)_Food Transport,Emissions (CO2)_Food Transport,Emissions (N2O)_Food Transport,Emissions (CH4)_Forest fires,Emissions (N2O)_Forest fires,Emissions (CO2)_Forestland,Emissions (CH4)_IPPU,Emissions (CO2)_IPPU,Emissions (N2O)_IPPU,Emissions (CH4)_Manure Management,Emissions (N2O)_Manure Management,Emissions (N2O)_Manure applied to Soils,Emissions (N2O)_Manure left on Pasture,Emissions (CO2)_Net Forest conversion,Emissions (CH4)_On-farm energy use,Emissions (CO2)_On-farm energy use,Emissions (N2O)_On-farm energy use,Emissions (CH4)_Pesticides Manufacturing,Emissions (CO2)_Pesticides Manufacturing,Emissions (N2O)_Pesticides Manufacturing,Emissions (CH4)_Rice Cultivation,Emissions (CH4)_Savanna fires,Emissions (N2O)_Savanna fires,Emissions (N2O)_Synthetic Fertilizers,Emissions (CH4)_Waste,Emissions (CO2)_Waste,Emissions (N2O)_Waste,Rice Production(Tonne),Temperature Index,Surface Temperature
Afghanistan,2001,37.1432,0.0,0.4609,2.3205,0.0602,0.6452,0.0,0.0,13.6082,795.3458,0.0796,225.403,0.0,0.0,0.0,0.0,0.008,105.0608,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.9706,0.0,0.004,38.445,0.0024,0.0,0.0,121.9016,0.0,150.4692,0.0063,12.1998,0.3193,1.1216,7.0711,0.0,0.0001,4.7947,0.0,0.0,0.0,0.0,16.94,0.0093,0.0009,0.3831,101.0,4.26,0.544,242000.0,1.377,1
Afghanistan,2002,44.2815,34.4786,0.5068,2.3553,0.0611,1.0045,0.0,0.0,14.8538,1060.1472,0.0796,287.893,0.0,0.0,0.0,0.0,0.0082,108.5072,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,2.3579,0.0,0.0031,36.8609,0.0022,0.0,0.0,121.9016,0.0,156.0936,0.0066,18.3753,0.2945,1.1842,8.1185,0.0,0.0002,7.057,0.0001,0.0,0.0,0.0,18.9,0.2306,0.0211,0.5106,106.0,4.33,0.57,388000.0,1.457,1
Afghanistan,2003,50.676,34.6461,0.5357,3.4017,0.0882,1.2235,0.0,0.0,14.522,1183.8744,0.0854,293.626,0.0,0.0,0.0,0.0,0.0084,110.515,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,2.5144,0.0,0.0109,59.1559,0.0047,0.0,0.0,121.9016,0.0,156.9959,0.007,18.6686,0.3033,1.211,8.2741,0.0,0.0001,6.4697,0.0001,0.0,0.0,0.0,20.3,0.8799,0.0803,0.4249,112.0,4.4,0.607,434000.0,0.71,1
Afghanistan,2004,51.4813,34.8741,0.4749,3.0089,0.078,1.0075,0.0,0.0,14.5352,880.225,0.0856,285.598,0.0,0.0,0.0,0.0,0.0079,105.3217,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.8165,0.0,0.0062,47.7223,0.0033,0.0,0.0,121.9016,0.0,159.2474,0.0073,17.5699,0.3173,1.2234,8.3884,0.0,0.0002,8.9503,0.0001,0.0,0.0,0.0,27.3,0.2061,0.0188,0.4651,117.0,4.56,0.658,463000.0,1.482,1
Afghanistan,2005,57.2164,35.1425,0.4773,3.4752,0.0901,1.4481,0.0,0.0,15.7427,1298.3718,0.0941,295.401,0.0,0.0,0.0,0.0,0.0086,115.4184,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,4.9019,0.0,0.0136,71.2817,0.0057,0.0,0.0,121.9016,0.0,159.2936,0.0076,18.49,0.3285,1.2809,8.4148,0.0,0.0002,8.6956,0.0001,0.0,0.0,0.0,22.4,0.0974,0.0089,0.4261,122.0,4.63,0.684,485000.0,0.513,1
Afghanistan,2006,62.3706,35.3229,0.4899,3.2535,0.0844,1.2589,0.0,0.0,15.6824,1628.4175,0.103,300.807,0.0,0.0,0.0,0.0,0.0079,107.5634,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,6.6516,0.0001,0.014,101.0215,0.0071,0.0,0.0,121.9016,0.0,166.2278,0.0078,19.5214,0.3005,1.2296,8.1119,0.0,0.0006,26.0854,0.0002,0.0,0.0,0.0,22.4,0.1025,0.0094,0.4261,126.0,4.96,0.701,540000.0,1.838,1
Afghanistan,2007,67.3707,35.8454,0.5254,3.2921,0.0854,1.5222,0.0,0.0,19.4905,2257.613,0.1242,304.225,0.0,0.0,0.0,0.0,0.0081,113.3118,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,8.74,0.0001,0.0273,111.295,0.0102,0.0,0.0,121.9016,0.0,167.8615,0.008,20.5011,0.2771,1.189,7.7363,0.0,0.0011,45.3357,0.0004,0.0,0.0,0.0,23.8,0.0499,0.0046,0.341,130.0,5.32,0.726,552000.0,0.794,1
Afghanistan,2008,72.17,35.9022,0.5471,2.9674,0.0769,1.0865,0.0,0.0,22.1105,4191.1554,0.1969,339.559,0.0,0.0,0.0,0.0,0.0079,130.0314,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,10.1956,0.0001,0.0379,224.9982,0.0171,0.0,0.0,121.9016,0.0,173.8187,0.0082,22.421,0.3326,1.3863,8.8423,0.0,0.0012,46.4057,0.0004,0.0,0.0,0.0,26.6,0.4745,0.0433,0.3005,133.0,5.67,0.758,612000.0,0.808,1
Afghanistan,2009,76.7986,36.2225,0.5685,3.4614,0.0897,1.7051,0.0,0.0,24.0159,6741.6514,0.2863,345.658,0.0,0.0,0.0,0.0,0.0121,188.1461,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,11.8557,0.0001,0.0516,377.1847,0.0262,0.0,0.0,121.9016,0.0,177.7937,0.0084,22.5567,0.3542,1.4474,9.0702,0.0,0.0013,47.1835,0.0004,0.0,0.0,0.0,28.0,0.0425,0.0039,0.2947,139.0,6.04,0.796,645000.0,0.948,1
Afghanistan,2010,81.4655,36.6037,0.5882,3.3507,0.0869,1.5609,0.0,0.0,29.756,8406.8588,0.3604,401.068,0.0,0.0,0.0,0.0,0.0187,285.3137,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,10.5445,0.0001,0.0711,457.3735,0.0335,0.0,0.0,121.9016,0.0,190.5078,0.0087,26.5669,0.398,1.6533,10.3302,0.0,0.0013,53.2229,0.0005,0.0,0.0,0.0,29.12,0.45,0.0411,0.2692,143.0,6.41,0.829,672000.0,1.664,1
